Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,Position,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StandardHours,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,2,Laboratory Technician,4,Divorced,5915,3,No,4,4,40,7,7,1
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Manufacturing Director,3,Divorced,5993,1,No,3,3,40,7,5,0
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,2,Manufacturing Director,4,Married,6162,1,Yes,4,2,40,9,8,7
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,2,Laboratory Technician,4,Single,2406,1,No,3,4,40,10,3,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,5,Research Director,3,Divorced,18740,5,Yes,3,4,40,27,3,13
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,Sales Executive,1,Single,7637,7,No,3,4,40,21,16,7
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,Healthcare Representative,3,Divorced,10096,1,No,3,2,40,17,14,12
55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,4,Manager,3,Divorced,14756,2,Yes,3,3,40,5,0,0
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,Manufacturing Director,2,Single,6499,1,No,3,3,40,6,5,0
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,Research Scientist,1,Divorced,9724,2,No,3,3,40,1,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,1,Research Scientist,1,Married,2194,4,No,3,4,40,3,2,1
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,1,Research Scientist,3,Married,3388,0,Yes,3,1,40,1,0,0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,Sales Executive,3,Single,5473,7,No,3,4,40,4,3,1
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,1,Research Scientist,2,Married,2703,0,No,4,4,40,5,4,0
31,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,1,Research Scientist,2,Single,2501,1,No,3,2,40,1,1,1
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,2,Research Scientist,2,Married,6220,1,No,3,2,40,10,4,0
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,1,Laboratory Technician,4,Married,3038,3,No,3,2,40,1,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,2,Manufacturing Director,4,Single,4424,1,No,4,4,40,11,7,1
35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,Sales Executive,1,Single,4312,0,No,3,2,40,15,13,2
45,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,Research Director,1,Married,13245,4,Yes,3,2,40,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,Research Director,3,Single,13664,4,No,3,1,40,5,2,0
46,No,Travel_Rarely,Human Resources,5,2,Medical,2,Male,2,Human Resources,2,Divorced,5021,8,Yes,4,4,40,4,2,0
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,Laboratory Technician,4,Married,5126,1,Yes,3,3,40,10,8,3
35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,1,Research Scientist,3,Single,2859,1,No,3,1,40,6,4,0
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,Sales Executive,4,Married,10239,3,No,3,4,40,1,0,1
38,No,Non-Travel,Research & Development,6,3,Medical,2,Female,2,Research Scientist,4,Divorced,5329,7,Yes,3,4,40,13,11,1
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,2,Manufacturing Director,2,Married,4325,1,No,3,3,40,5,2,1
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,3,Manufacturing Director,4,Single,7260,4,No,3,1,40,6,4,0
23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,1,Sales Representative,1,Divorced,2322,3,No,3,3,40,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,1,Laboratory Technician,4,Married,2075,3,No,4,2,40,4,2,0
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,Healthcare Representative,4,Married,4152,1,No,3,1,40,11,10,10
46,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,3,Sales Executive,4,Single,9619,1,No,3,4,40,9,8,4
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,4,Healthcare Representative,2,Married,13503,1,No,4,4,40,22,3,11
51,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,2,Sales Executive,4,Single,5441,0,Yes,4,4,40,10,7,1
30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,2,Sales Executive,2,Divorced,5209,1,Yes,3,2,40,11,8,2
46,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,3,Healthcare Representative,1,Married,10673,2,Yes,3,3,40,10,9,9
32,No,Travel_Rarely,Sales,6,4,Medical,2,Male,2,Sales Executive,3,Single,5010,1,No,3,1,40,11,8,5
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,Research Director,3,Married,13549,9,No,3,1,40,4,3,0
24,No,Travel_Rarely,Sales,3,2,Other,1,Female,2,Sales Executive,3,Married,4999,0,No,4,1,40,3,2,0
28,No,Non-Travel,Sales,4,3,Medical,2,Male,2,Sales Executive,3,Married,4221,1,No,3,2,40,5,4,0
58,No,Travel_Rarely,Sales,10,4,Medical,4,Male,4,Sales Executive,3,Single,13872,0,No,3,3,40,37,10,1
44,No,Non-Travel,Research & Development,23,3,Medical,2,Male,2,Laboratory Technician,2,Married,2042,4,No,3,3,40,3,2,1
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,1,Human Resources,1,Divorced,2073,4,Yes,4,4,40,3,2,0
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,1,Research Scientist,1,Single,2956,1,No,3,4,40,1,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,1,Laboratory Technician,4,Single,2926,1,Yes,3,2,40,1,0,1
34,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,2,Research Scientist,3,Single,4809,1,No,3,3,40,16,13,2
37,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,Healthcare Representative,4,Divorced,5163,5,No,3,4,40,1,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,3,Female,5,Manager,4,Married,18844,9,No,4,4,40,3,2,2
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,5,Research Director,2,Married,18172,3,Yes,3,1,40,8,3,0
25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,Sales Executive,3,Single,5744,1,Yes,3,4,40,6,4,0
25,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,1,Research Scientist,4,Married,2889,1,No,3,3,40,2,2,2
22,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,1,Laboratory Technician,4,Single,2871,1,No,3,3,40,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,Female,3,Healthcare Representative,1,Single,7484,3,No,4,3,40,13,12,12
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,2,Laboratory Technician,3,Single,6074,1,Yes,4,4,40,9,7,0
54,No,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,Manager,4,Single,17328,2,Yes,3,3,40,5,3,4
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,1,Laboratory Technician,3,Married,2774,0,No,3,3,40,5,3,1
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,Research Scientist,2,Divorced,4505,6,No,3,3,40,1,0,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,Sales Executive,4,Single,7428,2,No,3,1,40,5,3,1
34,No,Travel_Rarely,Research & Development,5,3,Medical,3,Female,3,Manager,1,Single,11631,2,No,3,4,40,11,10,5
36,No,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,Sales Executive,4,Married,9738,0,No,3,3,40,9,7,2
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,1,Laboratory Technician,4,Divorced,2835,5,No,4,1,40,1,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,4,Manager,4,Married,16959,1,Yes,3,4,40,25,12,4
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2613,1,No,4,3,40,10,7,0
33,No,Non-Travel,Sales,22,2,Marketing,3,Male,2,Sales Executive,2,Married,6146,0,No,3,1,40,7,7,0
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,1,Research Scientist,2,Married,4963,9,Yes,3,1,40,5,4,4
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,5,Research Director,3,Single,19537,7,No,3,3,40,20,18,15
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,2,Sales Executive,3,Married,6172,4,Yes,3,2,40,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,1,Research Scientist,2,Married,2368,1,No,3,3,40,5,4,4
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,Healthcare Representative,4,Married,10312,1,No,3,4,40,40,10,15
19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,1,Sales Representative,3,Single,1675,1,Yes,3,4,40,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,1,Laboratory Technician,4,Married,2523,0,No,3,3,40,2,1,2
49,No,Travel_Rarely,Research & Development,20,4,Medical,3,Female,2,Manufacturing Director,1,Married,6567,1,No,3,3,40,15,11,5
43,No,Travel_Frequently,Research & Development,28,3,Medical,2,Female,1,Research Scientist,3,Single,4739,4,No,3,4,40,3,2,1
50,No,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,Sales Executive,4,Single,9208,4,No,3,4,40,2,2,2
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,2,Sales Executive,3,Married,4559,3,Yes,3,3,40,2,2,2
41,No,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,Sales Executive,3,Divorced,8189,3,Yes,3,3,40,9,7,0
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,1,Human Resources,3,Married,2942,1,No,4,4,40,8,7,5
36,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,2,Manufacturing Director,2,Divorced,4941,6,No,4,4,40,3,2,0
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,3,Manufacturing Director,4,Single,10650,2,No,3,4,40,4,2,0
39,No,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,Sales Executive,3,Married,5902,4,No,3,3,40,15,11,5
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,Sales Executive,3,Married,8639,2,No,3,4,40,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,2,Human Resources,4,Married,6347,0,Yes,3,4,40,11,9,4
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,Female,1,Laboratory Technician,1,Single,4200,7,No,4,1,40,5,4,0
25,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Manufacturing Director,3,Married,4898,0,No,3,4,40,4,2,1
42,No,Travel_Rarely,Research & Development,2,3,Medical,4,Female,1,Laboratory Technician,1,Divorced,2593,0,Yes,3,3,40,9,6,7
40,No,Travel_Rarely,Research & Development,2,2,Medical,1,Male,5,Research Director,3,Divorced,19436,0,No,3,4,40,21,7,3
51,No,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Male,1,Research Scientist,4,Married,2723,1,No,3,2,40,1,0,0
31,Yes,Travel_Frequently,Research & Development,29,2,Medical,3,Male,1,Laboratory Technician,2,Single,3479,0,No,3,2,40,5,4,1
32,No,Travel_Frequently,Research & Development,7,3,Life Sciences,2,Male,1,Laboratory Technician,2,Married,2794,1,No,4,3,40,5,1,0
38,No,Non-Travel,Sales,2,2,Life Sciences,4,Male,2,Sales Executive,4,Married,5249,3,No,3,4,40,8,7,7
32,No,Travel_Rarely,Research & Development,2,1,Technical Degree,4,Male,2,Laboratory Technician,1,Single,2176,4,No,3,4,40,6,2,0
46,No,Travel_Rarely,Sales,2,3,Technical Degree,3,Female,4,Manager,2,Married,16872,3,Yes,3,2,40,7,7,7
28,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,1,Laboratory Technician,3,Single,3485,2,No,3,3,40,0,0,0
29,No,Travel_Rarely,Sales,2,3,Medical,1,Male,2,Sales Executive,2,Married,6644,2,No,3,2,40,0,0,0
31,No,Travel_Rarely,Research & Development,23,3,Medical,2,Male,2,Healthcare Representative,4,Married,5582,0,No,4,2,40,9,0,7
25,No,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,2,Healthcare Representative,1,Divorced,4000,1,No,3,4,40,6,3,1
45,No,Travel_Rarely,Research & Development,20,2,Medical,3,Male,4,Healthcare Representative,4,Married,13496,0,Yes,3,2,40,20,7,4
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Male,1,Laboratory Technician,4,Married,3210,0,No,3,3,40,15,13,10
55,No,Travel_Rarely,Research & Development,1,3,Medical,4,Male,5,Manager,1,Single,19045,0,Yes,3,3,40,36,10,4
47,Yes,Non-Travel,Research & Development,29,4,Life Sciences,1,Male,3,Manager,2,Married,11849,1,Yes,3,4,40,10,7,9
28,No,Travel_Rarely,Research & Development,9,3,Medical,4,Male,1,Research Scientist,4,Married,2070,1,No,4,4,40,5,2,0
37,No,Travel_Rarely,Sales,6,4,Medical,3,Male,2,Sales Executive,4,Married,6502,4,No,3,2,40,5,4,0
21,No,Travel_Rarely,Research & Development,3,2,Medical,4,Male,1,Research Scientist,3,Single,3230,1,No,3,1,40,3,2,1
37,No,Non-Travel,Research & Development,1,4,Medical,1,Female,3,Research Director,4,Divorced,13603,2,Yes,3,1,40,5,2,0
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,2,Female,3,Manager,2,Divorced,11996,7,No,3,2,40,7,7,6
38,No,Travel_Rarely,Sales,7,2,Medical,1,Female,2,Sales Executive,1,Divorced,5605,1,Yes,4,3,40,8,0,7
26,No,Travel_Frequently,Research & Development,1,3,Life Sciences,3,Female,2,Manufacturing Director,2,Divorced,6397,1,No,4,1,40,6,5,1
50,No,Travel_Rarely,Research & Development,4,1,Life Sciences,1,Male,5,Research Director,2,Divorced,19144,3,No,3,1,40,10,4,1
53,No,Travel_Rarely,Research & Development,3,4,Medical,3,Male,4,Research Director,3,Married,17584,3,Yes,3,4,40,5,3,1
42,No,Travel_Rarely,Sales,1,1,Life Sciences,2,Male,2,Sales Executive,3,Married,4907,1,No,4,3,40,20,16,11
29,No,Travel_Frequently,Sales,2,2,Life Sciences,2,Male,2,Sales Executive,4,Single,4554,1,No,3,1,40,10,7,0
55,No,Travel_Rarely,Research & Development,20,2,Technical Degree,2,Male,2,Laboratory Technician,4,Married,5415,3,Yes,3,4,40,10,7,0
26,No,Travel_Frequently,Research & Development,11,2,Medical,1,Male,2,Healthcare Representative,1,Married,4741,1,Yes,3,3,40,5,3,3
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,1,Research Scientist,4,Single,2115,1,No,3,2,40,17,12,5
44,Yes,Travel_Frequently,Research & Development,24,3,Life Sciences,4,Male,1,Laboratory Technician,3,Divorced,3161,3,Yes,4,4,40,1,0,0
38,No,Travel_Rarely,Research & Development,23,4,Life Sciences,4,Male,2,Healthcare Representative,4,Divorced,5745,9,No,3,2,40,2,2,1
26,Yes,Travel_Rarely,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,2,Divorced,2373,2,Yes,3,4,40,3,2,0
28,No,Travel_Rarely,Research & Development,8,2,Life Sciences,4,Female,1,Research Scientist,4,Single,3310,1,No,4,4,40,5,3,0
49,No,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,5,Research Director,1,Single,18665,9,Yes,3,4,40,3,2,1
36,No,Travel_Rarely,Research & Development,3,3,Technical Degree,3,Male,2,Research Scientist,2,Single,4485,4,No,3,4,40,8,0,7
31,No,Travel_Frequently,Sales,5,3,Marketing,4,Female,1,Sales Representative,2,Divorced,2789,1,No,3,3,40,2,2,2
26,Yes,Travel_Rarely,Sales,4,4,Marketing,4,Male,2,Sales Executive,4,Single,5828,1,Yes,3,2,40,8,7,7
37,No,Travel_Frequently,Research & Development,9,3,Medical,2,Male,1,Research Scientist,4,Married,2326,1,Yes,3,3,40,4,2,1
42,No,Travel_Frequently,Sales,26,3,Marketing,3,Female,4,Sales Executive,2,Married,13525,5,No,3,4,40,20,4,4
18,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,1,Laboratory Technician,3,Single,1420,1,No,3,3,40,0,0,0
35,No,Travel_Rarely,Sales,16,3,Marketing,3,Male,3,Sales Executive,2,Married,8020,0,No,3,3,40,11,9,6
36,No,Travel_Frequently,Research & Development,18,4,Life Sciences,3,Male,1,Laboratory Technician,4,Married,3688,4,No,3,4,40,1,0,0
51,No,Travel_Rarely,Research & Development,2,3,Medical,4,Male,2,Manufacturing Director,2,Divorced,5482,5,No,3,4,40,4,1,1
41,No,Travel_Rarely,Sales,2,4,Life Sciences,4,Male,4,Manager,2,Single,16015,1,No,3,2,40,22,10,0
18,No,Travel_Rarely,Sales,10,3,Medical,4,Female,1,Sales Representative,3,Single,1200,1,No,3,1,40,0,0,0
28,No,Travel_Rarely,Research & Development,16,2,Medical,2,Male,2,Healthcare Representative,1,Single,5661,0,No,3,3,40,8,3,0
31,No,Travel_Rarely,Sales,7,3,Technical Degree,2,Male,2,Sales Executive,4,Married,6929,4,No,3,2,40,8,7,7
39,No,Travel_Rarely,Research & Development,1,3,Medical,3,Male,3,Healthcare Representative,4,Divorced,9613,0,No,3,1,40,18,10,3
36,No,Non-Travel,Research & Development,24,4,Life Sciences,2,Female,2,Laboratory Technician,2,Married,5674,7,No,3,3,40,9,8,0
32,No,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,2,Sales Executive,3,Married,5484,1,No,3,3,40,13,8,4
38,No,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Female,3,Research Director,2,Married,12061,3,No,3,3,40,10,8,0
58,No,Non-Travel,Research & Development,1,4,Life Sciences,4,Male,2,Healthcare Representative,3,Divorced,5660,2,Yes,3,4,40,5,3,1
31,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,1,Research Scientist,4,Married,4821,0,Yes,3,3,40,5,2,0
31,No,Travel_Rarely,Human Resources,2,3,Human Resources,1,Male,2,Human Resources,1,Married,6410,3,No,3,4,40,2,2,1
45,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,3,Laboratory Technician,1,Divorced,5210,1,No,3,1,40,24,9,9
31,No,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Male,1,Research Scientist,4,Divorced,2695,0,Yes,3,2,40,2,2,2
33,No,Travel_Frequently,Research & Development,5,4,Life Sciences,4,Female,3,Manager,2,Married,11878,6,No,3,2,40,10,6,8
39,No,Travel_Rarely,Research & Development,10,1,Medical,3,Male,4,Manager,1,Married,17068,1,Yes,3,4,40,21,9,11
